hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
200,0.9,10,5,2,14,8,21398867776.0,237765.0,1.8648511394654959,20.0,0.0,24.30999999999996,23.9337016574586,27.894736842105296,0.0,39.0
200,0.9,10,5,2,14,9,22912897088.0,254587.0,1.8664765977666873,20.0,0.0,26.030000000000033,25.247252747252777,33.94444444444438,0.0,45.0
200,0.9,10,5,2,14,10,20932335488.0,232581.0,1.8681168831168788,20.0,0.0,23.780000000000015,23.33701657458566,28.000000000000004,0.0,41.0
200,0.9,10,5,2,14,11,22411154816.0,249012.0,1.8632903621853887,20.0,0.0,25.460000000000033,24.90109890109894,31.111111111111168,0.0,46.0
200,0.9,10,5,2,14,12,22050252480.0,245002.0,1.865482392819028,20.0,0.0,25.050000000000008,24.38674033149168,31.36842105263164,0.0,46.0
200,0.9,10,5,2,15,6,20835508032.0,231505.0,1.860193118455051,20.0,0.0,23.67000000000003,23.850828729281762,21.947368421052655,0.0,32.0
200,0.9,10,5,2,15,7,22349537344.0,248328.0,1.8541230241858677,20.0,0.0,25.38999999999992,25.563535911602226,23.736842105263158,0.0,36.0
200,0.9,10,5,2,15,8,22763254656.0,252925.0,1.8536815014751091,20.0,0.0,25.859999999999992,25.785714285714256,26.61111111111114,0.0,40.0
200,0.9,10,5,2,15,9,24955076160.0,277278.0,1.8528549249611863,20.0,0.0,28.34999999999995,27.516483516483564,36.77777777777782,24.0,48.0
200,0.9,10,5,2,15,10,24884656192.0,276496.0,1.851233842538192,20.0,0.0,28.269999999999985,27.252747252747223,38.55555555555563,30.0,47.0
200,0.9,10,5,2,15,11,21742165120.0,241579.0,1.8520634493883599,20.0,0.0,24.699999999999996,24.203296703296736,29.722222222222182,0.0,42.0
200,0.9,10,5,2,15,12,22076659968.0,245296.0,1.8547783251231542,20.0,0.0,25.079999999999963,25.12637362637361,24.61111111111113,0.0,38.0
