hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,avg_degree_non_juror
100,0.9,10,5,3,11,11,2733473856.0,60743.0,1.7526123301985335,20.0,0.0,21.180000000000014,35.54545454545451,19.40449438202246
100,0.9,10,5,3,12,1,2648294784.0,58850.0,1.7481956696070602,20.0,0.0,20.519999999999985,19.900000000000038,20.588888888888913
100,0.9,10,5,3,12,2,2994173440.0,66537.0,1.7412804586717612,20.0,0.0,23.20000000000001,23.45454545454548,23.168539325842673
100,0.9,10,5,3,12,3,3094839616.0,68774.0,1.7377279102384278,20.0,0.0,23.980000000000015,25.909090909090956,23.74157303370789
100,0.9,10,5,3,12,4,3043215936.0,67626.0,1.7369804108934561,20.0,0.0,23.57999999999997,27.272727272727312,23.123595505617978
100,0.9,10,5,3,12,5,3159369216.0,70208.0,1.741249142072749,20.0,0.0,24.480000000000015,28.72727272727268,23.955056179775248
100,0.9,10,5,3,12,6,2694756096.0,59883.0,1.7396418070034738,20.0,0.0,20.880000000000056,22.200000000000014,20.733333333333338
100,0.9,10,5,3,12,7,2950293312.0,65562.0,1.7393258426966258,20.0,0.0,22.85999999999997,31.0,21.853932584269643
100,0.9,10,5,3,12,8,2630226496.0,58449.0,1.7420168067226884,20.0,0.0,20.380000000000052,31.545454545454515,18.999999999999996
100,0.9,10,5,3,12,9,3231642368.0,71814.0,1.732117812061714,20.0,0.0,25.039999999999974,37.80000000000006,23.622222222222252
100,0.9,10,5,3,12,10,2699918464.0,59998.0,1.7395348837209295,20.0,0.0,20.920000000000027,25.45454545454548,20.359550561797736
100,0.9,10,5,3,12,11,2865114240.0,63669.0,1.7426854754440932,20.0,0.0,22.200000000000017,30.636363636363626,21.157303370786558
100,0.9,10,5,3,13,1,2970942784.0,66020.0,1.7325842696629183,20.0,0.0,23.019999999999985,26.0,22.688888888888872
100,0.9,10,5,3,13,2,3038053568.0,67512.0,1.7365079365079346,20.0,0.0,23.539999999999978,23.18181818181818,23.58426966292135
100,0.9,10,5,3,13,3,3340052096.0,74223.0,1.7277510867078467,20.0,0.0,25.880000000000063,23.09090909090905,26.224719101123632
100,0.9,10,5,3,13,4,3118070272.0,69290.0,1.7238451935081125,20.0,0.0,24.16,29.545454545454515,23.494382022471918
100,0.9,10,5,3,13,5,3458786560.0,76861.0,1.714481811942345,20.0,0.0,26.80000000000002,38.33333333333339,25.659340659340625
100,0.9,10,5,3,13,6,3556871552.0,79041.0,1.7210526315789445,20.0,0.0,27.55999999999996,33.30000000000005,26.92222222222227
100,0.9,10,5,3,13,7,3120651456.0,69347.0,1.7157814096016364,20.0,0.0,24.179999999999993,35.77777777777782,23.03296703296701
100,0.9,10,5,3,13,8,3203249344.0,71183.0,1.7211233211233177,20.0,0.0,24.820000000000014,28.72727272727268,24.337078651685406
100,0.9,10,5,3,13,9,3097420800.0,68831.0,1.7189132706374126,20.0,0.0,24.000000000000004,41.400000000000055,22.06666666666662
100,0.9,10,5,3,13,10,3647212992.0,81049.0,1.7188596491228056,20.0,0.0,28.260000000000055,43.80000000000008,26.533333333333314
100,0.9,10,5,3,13,11,3479436032.0,77320.0,1.7199625993454872,20.0,0.0,26.960000000000033,42.36363636363639,25.056179775280874
100,0.9,10,5,3,14,1,3288428416.0,73076.0,1.7183468705207838,20.0,0.0,25.480000000000015,21.81818181818181,25.932584269662904
100,0.9,10,5,3,14,2,3471692480.0,77148.0,1.714481811942345,20.0,0.0,26.900000000000055,23.000000000000004,27.38202247191016
100,0.9,10,5,3,14,3,3014822912.0,66996.0,1.712109061748198,20.0,0.0,23.359999999999978,26.727272727272695,22.943820224719083
100,0.9,10,5,3,14,4,3247129472.0,72158.0,1.7091136079900167,20.0,0.0,25.160000000000004,29.545454545454515,24.617977528089842
100,0.9,10,5,3,14,5,3502666688.0,77836.0,1.7075736325385729,20.0,0.0,27.140000000000004,32.36363636363638,26.494382022471935
100,0.9,10,5,3,14,6,3164531584.0,70322.0,1.708202716823404,20.0,0.0,24.519999999999985,33.0,23.47191011235959
100,0.9,10,5,3,14,7,3634307072.0,80762.0,1.7064744909631626,20.0,0.0,28.159999999999986,36.636363636363605,27.112359550561862
